statsDataId,表章事項,男女,全国、都道府県、市区町村,時間軸（年次）,単位,値
0004050397,2025_01,0,01571,2025000000,人,3409
0004050397,2025_01,0,01575,2025000000,人,2349
0004050397,2025_01,0,01578,2025000000,人,14582
0004050397,2025_01,0,01581,2025000000,人,4159
0004050397,2025_01,0,01584,2025000000,人,7826
0004050397,2025_01,0,01585,2025000000,人,6955
0004050397,2025_01,0,01586,2025000000,人,7154
0004050397,2025_01,0,01601,2025000000,人,10298
0004050397,2025_01,0,01602,2025000000,人,4332
0004050397,2025_01,0,01604,2025000000,人,4759
0004050397,2025_01,0,01607,2025000000,人,11120
0004050397,2025_01,0,01608,2025000000,人,3665
0004050397,2025_01,0,01609,2025000000,人,3738
0004050397,2025_01,0,01610,2025000000,人,19573
0004050397,2025_01,0,01631,2025000000,人,41997
0004050397,2025_01,0,01632,2025000000,人,5385
0004050397,2025_01,0,01633,2025000000,人,4472
0004050397,2025_01,0,01634,2025000000,人,4861
0004050397,2025_01,0,01635,2025000000,人,5224
0004050397,2025_01,0,01636,2025000000,人,8368
0004050397,2025_01,0,01637,2025000000,人,17242
0004050397,2025_01,0,01638,2025000000,人,3804
0004050397,2025_01,0,01639,2025000000,人,3001
0004050397,2025_01,0,01641,2025000000,人,5127
0004050397,2025_01,0,01642,2025000000,人,5506
0004050397,2025_01,0,01643,2025000000,人,24195
0004050397,2025_01,0,01644,2025000000,人,5592
0004050397,2025_01,0,01645,2025000000,人,2704
0004050397,2025_01,0,01646,2025000000,人,5695
0004050397,2025_01,0,01647,2025000000,人,5613
0004050397,2025_01,0,01648,2025000000,人,1988
0004050397,2025_01,0,01649,2025000000,人,3855
0004050397,2025_01,0,01661,2025000000,人,17782
0004050397,2025_01,0,01662,2025000000,人,7861
0004050397,2025_01,0,01663,2025000000,人,5144
0004050397,2025_01,0,01664,2025000000,人,6517
0004050397,2025_01,0,01665,2025000000,人,6247
0004050397,2025_01,0,01667,2025000000,人,2400
0004050397,2025_01,0,01668,2025000000,人,6615
0004050397,2025_01,0,01691,2025000000,人,13323
0004050397,2025_01,0,01692,2025000000,人,21785
0004050397,2025_01,0,01693,2025000000,人,4612
0004050397,2025_01,0,01694,2025000000,人,4027
0004050397,2025_01,0,02000,2025000000,人,1140395
0004050397,2025_01,0,02201,2025000000,人,256180
0004050397,2025_01,0,02202,2025000000,人,155952
0004050397,2025_01,0,02203,2025000000,人,205136
0004050397,2025_01,0,02204,2025000000,人,28896
0004050397,2025_01,0,02205,2025000000,人,47493
0004050397,2025_01,0,02206,2025000000,人,56775
0004050397,2025_01,0,02207,2025000000,人,37121
0004050397,2025_01,0,02208,2025000000,人,49699
0004050397,2025_01,0,02209,2025000000,人,27069
0004050397,2025_01,0,02210,2025000000,人,28776
0004050397,2025_01,0,02301,2025000000,人,9129
0004050397,2025_01,0,02303,2025000000,人,1890
0004050397,2025_01,0,02304,2025000000,人,2253
0004050397,2025_01,0,02307,2025000000,人,4512
0004050397,2025_01,0,02321,2025000000,人,7743
0004050397,2025_01,0,02323,2025000000,人,6263
0004050397,2025_01,0,02343,2025000000,人,1121
0004050397,2025_01,0,02361,2025000000,人,14117
0004050397,2025_01,0,02362,2025000000,人,7609
0004050397,2025_01,0,02367,2025000000,人,6851
0004050397,2025_01,0,02381,2025000000,人,11531
0004050397,2025_01,0,02384,2025000000,人,10763
0004050397,2025_01,0,02387,2025000000,人,8177
0004050397,2025_01,0,02401,2025000000,人,11197
0004050397,2025_01,0,02402,2025000000,人,13114
0004050397,2025_01,0,02405,2025000000,人,9970
0004050397,2025_01,0,02406,2025000000,人,3817
0004050397,2025_01,0,02408,2025000000,人,14888
0004050397,2025_01,0,02411,2025000000,人,10603
0004050397,2025_01,0,02412,2025000000,人,23688
0004050397,2025_01,0,02423,2025000000,人,4091
0004050397,2025_01,0,02424,2025000000,人,5195
0004050397,2025_01,0,02425,2025000000,人,1380
0004050397,2025_01,0,02426,2025000000,人,1465
0004050397,2025_01,0,02441,2025000000,人,8000
0004050397,2025_01,0,02442,2025000000,人,14335
0004050397,2025_01,0,02443,2025000000,人,4347
0004050397,2025_01,0,02445,2025000000,人,15184
0004050397,2025_01,0,02446,2025000000,人,12216
0004050397,2025_01,0,02450,2025000000,人,1849
0004050397,2025_01,0,03000,2025000000,人,1125502
0004050397,2025_01,0,03201,2025000000,人,278636
0004050397,2025_01,0,03202,2025000000,人,44277
0004050397,2025_01,0,03203,2025000000,人,30606
0004050397,2025_01,0,03205,2025000000,人,87272
0004050397,2025_01,0,03206,2025000000,人,90861
0004050397,2025_01,0,03207,2025000000,人,29645
0004050397,2025_01,0,03208,2025000000,人,22653
0004050397,2025_01,0,03209,2025000000,人,101916
0004050397,2025_01,0,03210,2025000000,人,16418
0004050397,2025_01,0,03211,2025000000,人,28012
0004050397,2025_01,0,03213,2025000000,人,22999
0004050397,2025_01,0,03214,2025000000,人,22058
0004050397,2025_01,0,03215,2025000000,人,103899
0004050397,2025_01,0,03216,2025000000,人,53740
0004050397,2025_01,0,03301,2025000000,人,14274
0004050397,2025_01,0,03302,2025000000,人,4880
0004050397,2025_01,0,03303,2025000000,人,10662
0004050397,2025_01,0,03321,2025000000,人,31470
0004050397,2025_01,0,03322,2025000000,人,27004
0004050397,2025_01,0,03366,2025000000,人,4354
0004050397,2025_01,0,03381,2025000000,人,15129
0004050397,2025_01,0,03402,2025000000,人,6426
0004050397,2025_01,0,03441,2025000000,人,4337
0004050397,2025_01,0,03461,2025000000,人,9870
0004050397,2025_01,0,03482,2025000000,人,12689
0004050397,2025_01,0,03483,2025000000,人,7429
0004050397,2025_01,0,03484,2025000000,人,2680
0004050397,2025_01,0,03485,2025000000,人,2132
0004050397,2025_01,0,03501,2025000000,人,7414
0004050397,2025_01,0,03503,2025000000,人,3613
0004050397,2025_01,0,03506,2025000000,人,4717
0004050397,2025_01,0,03507,2025000000,人,13415
0004050397,2025_01,0,03524,2025000000,人,10015
0004050397,2025_01,0,04000,2025000000,人,2227240
0004050397,2025_01,0,04100,2025000000,人,1096951
